Entry ID,EMDB Map,Experimental Method,EM Diffraction Resolution (Å),EM Resolution (Å),Symmetry Type,Point Symmetry,Additional Map,Aggregation State,Reconstruction Method,Embedding,Staining,Vitrification,Microscope Model,Film or Detector Model,Release Date,Deposition Date,Citation Author,
"6V9Y","EMD-21130","ELECTRON MICROSCOPY",,3.6,"POINT","C4","EMD-21130, EMD-21127, EMD-21128, EMD-21129, EMD-21131","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI POLARA 300","GATAN K2 SUMMIT (4k x 4k)","2020-05-06","2019-12-16","Zhao, J., Lin King, J.V., Paulsen, C.E., Cheng, Y., Julius, D."
"6V9Z","EMD-21132","ELECTRON MICROSCOPY",,3.35,"POINT","C1","EMD-21132","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-01-22","2019-12-16","Kieuvongngam, V., Olinares, P.D.B., Palillo, A., Oldham, M.L., Chait, B.T., Chen, J."
"6VAA","EMD-21134","ELECTRON MICROSCOPY",,3.4,"POINT","C1","EMD-21134","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-03-18","2019-12-17","Wang, R., Wang, S., Dhar, A., Peralta, C., Pavletich, N.P."
"6VAB","EMD-21135","ELECTRON MICROSCOPY",,4.9,"POINT",,"EMD-21135","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-02-19","2019-12-17","Kendall, A.K., Xie, B., Xu, P., Wang, J., Burcham, R., Frazier, M.N., Binshtein, E., Wei, H., Graham, T.R., Nakagawa, T., Jackson, L.P."
"6VAC","EMD-21136","ELECTRON MICROSCOPY",,5.7,"POINT","C1","EMD-21136","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-02-19","2019-12-17","Kendall, A.K., Xie, B., Xu, P., Wang, J., Burcham, R., Frazier, M.N., Binshtein, E., Wei, H., Graham, T.R., Nakagawa, T., Jackson, L.P."
"6VAD","EMD-21137","ELECTRON MICROSCOPY",,3.3,"POINT",,"EMD-21134, EMD-21137","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-03-18","2019-12-17","Wang, R., Wang, S., Dhar, A., Peralta, C., Pavletich, N.P."
"6VAE","EMD-21138","ELECTRON MICROSCOPY",,3.6,"POINT","C1","EMD-21138","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-03-18","2019-12-17","Wang, R., Wang, S., Dhar, A., Peralta, C., Pavletich, N.P."
"6VAF","EMD-21139","ELECTRON MICROSCOPY",,3.9,"POINT",,"EMD-21139","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-03-18","2019-12-17","Wang, R., Wang, S., Dhar, A., Peralta, C., Pavletich, N.P."
"6VAI","EMD-21140","ELECTRON MICROSCOPY",,3.68,"POINT","D11","EMD-21140, EMD-21141, EMD-21142, EMD-21143","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-01-29","2019-12-17","Syrjanen, J.L., Michalski, K., Chou, T.H., Grant, T., Rao, S., Simorowski, N., Tucker, S.J., Grigorieff, N., Furukawa, H."
"6VAK","EMD-21141","ELECTRON MICROSCOPY",,3.48,"POINT","C11","EMD-21141, EMD-21140, EMD-21142, EMD-21143","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-01-29","2019-12-17","Syrjanen, J.L., Michalski, K., Chou, T.H., Grant, T., Rao, S., Simorowski, N., Tucker, S.J., Grigorieff, N., Furukawa, H."
"6VAL","EMD-21142","ELECTRON MICROSCOPY",,3.87,"POINT",,"EMD-21142, EMD-21140, EMD-21141, EMD-21143","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-01-29","2019-12-17","Syrjanen, J.L., Michalski, K., Chou, T.H., Grant, T., Rao, S., Simorowski, N., Tucker, S.J., Grigorieff, N., Furukawa, H."
"6VAM","EMD-21143","ELECTRON MICROSCOPY",,3.63,"POINT","C8","EMD-21143, EMD-21140, EMD-21141, EMD-21142","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-01-29","2019-12-17","Syrjanen, J.L., Michalski, K., Chou, T.H., Grant, T., Rao, S., Simorowski, N., Tucker, S.J., Grigorieff, N., Furukawa, H."
"6VAO","EMD-20711","ELECTRON MICROSCOPY",,3.4,"HELICAL",,"EMD-20719, EMD-20721, 6UBY, EMD-20726, 6UC4, EMD-20724, 6UC0, EMD-20711","HELICAL ARRAY","HELICAL","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-01-08","2019-12-17","Huehn, A.R., Bibeau, J.P., Schramm, A.C., Cao, W., De La Cruz, E.M., Sindelar, C.V."
"6VAU","EMD-20719","ELECTRON MICROSCOPY",,3.5,"HELICAL",,"EMD-20719, EMD-20711, 6VAO, EMD-20721, 6UBY, EMD-20724, 6UC0, EMD-20726, 6UC4","FILAMENT","HELICAL","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2020-01-01","2019-12-17","Huehn, A.R., Bibeau, J.P., Schramm, A.C., Cao, W., De La Cruz, E.M., Sindelar, C.V."
"6VBU","EMD-21144","ELECTRON MICROSCOPY",,3.1,"POINT","C1","EMD-21144","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K3 BIOQUANTUM (6k x 4k)","2020-01-29","2019-12-19","Singh, S.K., Gui, M., Koh, F., Yip, M.C., Brown, A."
