Entry ID,EMDB Map,Experimental Method,EM Diffraction Resolution (Å),EM Resolution (Å),Symmetry Type,Point Symmetry,Additional Map,Aggregation State,Reconstruction Method,Embedding,Staining,Vitrification,Microscope Model,Film or Detector Model,Release Date,Deposition Date,Citation Author,
"6GKM","EMD-0024","ELECTRON MICROSCOPY",,3.87,"HELICAL",,"EMD-4338, EMD-4340, EMD-4341, EMD-0012, EMD-0023, 6G19, 6G1S, 6G1X, 6GJZ, 6GKH, EMD-0024","HELICAL ARRAY","HELICAL","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2018-11-21","2018-05-21","Yu, Q., Qu, K., Modis, Y."
"6GL7","EMD-0026","ELECTRON MICROSCOPY",,6.3,"POINT","C2","EMD-0026","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 QUANTUM (4k x 4k)","2019-08-14","2018-05-23","Bigalke, J.M., Aibara, S., Roth, R., Dahl, G., Gordon, E., Dorbeus, S., Amunts, A., Sandmark, J."
"6GMH","EMD-0031","ELECTRON MICROSCOPY",,3.1,"POINT","C1","EMD-0031","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2018-08-22","2018-05-26","Vos, S.M., Farnung, L., Boehning, M., Wigge, C., Linden, A., Urlaub, H., Cramer, P."
"6GML","EMD-0038","ELECTRON MICROSCOPY",,3.2,"POINT","C1","EMD-0038","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 QUANTUM (4k x 4k)","2018-09-05","2018-05-27","Vos, S.M., Farnung, L., Urlaub, H., Cramer, P."
"6GNI","EMD-0044","ELECTRON MICROSCOPY",,4.9,"POINT","C1","EMD-0044","3D ARRAY","SUBTOMOGRAM AVERAGING","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2018-10-17","2018-05-30","Hutchings, J., Stancheva, V., Miller, E.A., Zanetti, G."
"6GOV","EMD-0043","ELECTRON MICROSCOPY",,3.7,"POINT","C1","5MS0, EMD-0043","PARTICLE","SINGLE PARTICLE","YES","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2019-02-13","2018-06-04","Krupp, F., Said, N., Huang, Y.H., Loll, B., Burger, J., Mielke, T., Spahn, C.M.T., Wahl, M.C."
"6GQ1","EMD-0047","ELECTRON MICROSCOPY",,4.4,"POINT","C1","EMD-0047, EMD-0048, EMD-0049, 6GQB, 6GQV","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-07-11","2018-06-07","Pellegrino, S., Demeshkina, N., Mancera-Martinez, E., Melnikov, S., Simonetti, A., Myasnikov, A., Yusupov, M., Yusupova, G., Hashem, Y."
"6GQB","EMD-0048","ELECTRON MICROSCOPY",,3.9,"POINT","C1","EMD-0048, EMD-0055, EMD-0047, 6GQ1, EMD-0049, 6GQV","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-07-11","2018-06-07","Pellegrino, S., Demeshkina, N., Mancera-Martinez, E., Melnikov, S., Simonetti, A., Myasnikov, A., Yusupov, M., Yusupova, G., Hashem, Y."
"6GQV","EMD-0049","ELECTRON MICROSCOPY",,4,"POINT","C1","EMD-0049, EMD-0047, 6GQ1, EMD-0048, 6GQB","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-07-11","2018-06-08","Pellegrino, S., Demeshkina, N., Mancera-Martinez, E., Melnikov, S., Simonetti, A., Myasnikov, A., Yusupov, M., Yusupova, G., Hashem, Y."
"6GSA","EMD-0051","ELECTRON MICROSCOPY",,4.2,"POINT","C1","EMD-4241, 6FE8, EMD-0051","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2018-08-01","2018-06-13","Zhang, W., Lukoynova, N., Miah, S., Lucas, J., Vaughan, C.K."
