Entry ID,EMDB Map,Experimental Method,EM Diffraction Resolution (Å),EM Resolution (Å),Symmetry Type,Point Symmetry,Additional Map,Aggregation State,Reconstruction Method,Embedding,Staining,Vitrification,Microscope Model,Film or Detector Model,Release Date,Deposition Date,Citation Author,
"6GSH","EMD-0054","ELECTRON MICROSCOPY",,3,"POINT","I","EMD-0054","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2019-01-16","2018-06-14","Conley, M.J., McElwee, M., Azmi, L., Gabrielsen, M., Byron, O., Goodfellow, I.G., Bhella, D."
"6GSI","EMD-0056","ELECTRON MICROSCOPY",,3.75,"POINT","C1","EMD-0054, 6GSH, EMD-0056","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2019-01-16","2018-06-14","Conley, M.J., McElwee, M., Azmi, L., Gabrielsen, M., Byron, O., Goodfellow, I.G., Bhella, D."
"6GSM","EMD-0057","ELECTRON MICROSCOPY",,5.15,"POINT","C1","EMD-3048, EMD-3049, 3JAP, 3JAQ, EMD-0057","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2019-07-31","2018-06-14","Llacer, J.L., Hussain, T., Dong, J., Villamayor, L., Gordiyenko, Y., Hinnebusch, A.G."
"6GSN","EMD-0058","ELECTRON MICROSCOPY",,5.75,"POINT","C1","EMD-3048, EMD-3049, 3JAP, 3JAQ, EMD-0058","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2019-06-26","2018-06-14","Llacer, J.L., Hussain, T., Dong, J., Villamayor, L., Gordiyenko, Y., Hinnebusch, A.G."
"6GSR","EMD-0046","ELECTRON MICROSCOPY",,5.5,"POINT","C1","EMD-0046","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2019-03-27","2018-06-15","Montemiglio, L.C., Testi, C., Ceci, P., Falvo, E., Pitea, M., Savino, C., Arcovito, A., Peruzzi, G., Baiocco, P., Mancia, F., Boffi, A., des Georges, A., Vallone, B."
"6GTC","EMD-0061","ELECTRON MICROSCOPY",,3.91,"POINT","C1","EMD-0061","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2018-12-19","2018-06-18","Stella, S., Mesa, P., Thomsen, J., Paul, B., Alcon, P., Jensen, S.B., Saligram, B., Moses, M.E., Hatzakis, N.S., Montoya, G."
"6GTD","EMD-0062","ELECTRON MICROSCOPY",,4.24,"POINT","C1","EMD-0062","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2018-12-19","2018-06-18","Stella, S., Mesa, P., Thomsen, J., Paul, B., Alcon, P., Jensen, S.B., Saligram, B., Moses, M.E., Hatzakis, N.S., Montoya, G."
"6GTE","EMD-0063","ELECTRON MICROSCOPY",,4.07,"POINT","C1","EMD-0063","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2018-12-19","2018-06-18","Stella, S., Mesa, P., Thomsen, J., Paul, B., Alcon, P., Jensen, S.B., Saligram, B., Moses, M.E., Hatzakis, N.S., Montoya, G."
"6GTF","EMD-0064","ELECTRON MICROSCOPY",,3.63,"POINT","C1","EMD-0064","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2018-12-19","2018-06-18","Stella, S., Mesa, P., Thomsen, J., Paul, B., Alcon, P., Jensen, S.B., Saligram, B., Moses, M.E., Hatzakis, N.S., Montoya, G."
"6GTG","EMD-0065","ELECTRON MICROSCOPY",,3.27,"POINT","C1","EMD-0065","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2018-12-19","2018-06-18","Stella, S., Mesa, P., Thomsen, J., Paul, B., Alcon, P., Jensen, S.B., Saligram, B., Moses, M.E., Hatzakis, N.S., Montoya, G."
"6GV4","EMD-0069","ELECTRON MICROSCOPY",,2.8,"POINT","I","EMD-0069","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-11-21","2018-06-20","Domanska, A., Flatt, J.W., Jukonen, J.J.J., Geraets, J.A., Butcher, S.J."
"6GV9","EMD-0070","ELECTRON MICROSCOPY",,8,"HELICAL",,"6GMS, EMD-0070","FILAMENT","HELICAL","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2019-05-15","2018-06-20","Bardiaux, B., de Amorim, G.C., Luna Rico, A., Zheng, W., Guilvout, I., Jollivet, C., Nilges, M., Egelman, E.H., Izadi-Pruneyre, N., Francetic, O."
"6GVE","EMD-0071","ELECTRON MICROSCOPY",,3.9,"POINT","D2","EMD-0071","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2019-07-03","2018-06-20","McFarlane, C.R., Shah, N.R., Kabasakal, B.V., Echeverria, B., Cotton, C.A.R., Bubeck, D., Murray, J.W."
"6GWT","EMD-0076","ELECTRON MICROSCOPY",,3.8,"POINT","C1","EMD-0076","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-08-15","2018-06-25","Graf, M., Huter, P., Maracci, C., Peterek, M., Rodnina, M.V., Wilson, D.N."
"6GX5","EMD-0077","ELECTRON MICROSCOPY",,3.2,"HELICAL",,"EMD-0077","TISSUE","HELICAL","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 QUANTUM (4k x 4k)","2018-09-12","2018-06-26","Falcon, B., Zhang, W., Murzin, A.G., Murshudov, G., Garringer, H.J., Vidal, R., Crowther, R.A., Ghetti, B., Scheres, S.H.W., Goedert, M."
"6GXM","EMD-0080","ELECTRON MICROSCOPY",,3.8,"POINT","C1","6GWT, EMD-0080","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-08-22","2018-06-27","Graf, M., Huter, P., Maracci, C., Peterek, M., Rodnina, M.V., Wilson, D.N."
"6GXN","EMD-0081","ELECTRON MICROSCOPY",,3.9,"POINT","C1","6GWT, 6GXM, EMD-0081","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-08-15","2018-06-27","Graf, M., Huter, P., Maracci, C., Peterek, M., Rodnina, M.V., Wilson, D.N."
"6GXO","EMD-0082","ELECTRON MICROSCOPY",,3.9,"POINT","C1","6GWT, 6GXM, 6GXN, EMD-0082","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-08-15","2018-06-27","Graf, M., Huter, P., Maracci, C., Peterek, M., Rodnina, M.V., Wilson, D.N."
"6GXP","EMD-0083","ELECTRON MICROSCOPY",,4.4,"POINT","C1","6GWT, 6GXM, 6GXN, 6GXO, EMD-0083","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-08-15","2018-06-27","Graf, M., Huter, P., Maracci, C., Peterek, M., Rodnina, M.V., Wilson, D.N."
"6GY6","EMD-0088","ELECTRON MICROSCOPY",,4,"POINT","C13","EMD-0088","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2018-07-25","2018-06-28","Schubert, E., Vetter, I.R., Prumbaum, D., Penczek, P.A., Raunser, S."
"6GYB","EMD-0089","ELECTRON MICROSCOPY",,3.28,"POINT","C14","27342, EMD-0089","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 QUANTUM (4k x 4k)","2018-10-24","2018-06-28","Sgro, G.G., Costa, T.R.D., Cenens, W., Souza, D.P., Cassago, A., Coutinho de Oliveira, L., Salinas, R.K., Portugal, R.V., Farah, C.S., Waksman, G."
"6GYK","EMD-0090","ELECTRON MICROSCOPY",,5.1,"POINT","C1","EMD-0090","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 QUANTUM (4k x 4k)","2018-12-05","2018-06-30","Dienemann, C., Schwalb, B., Schilbach, S., Cramer, P."
"6GYL","EMD-0091","ELECTRON MICROSCOPY",,4.8,"POINT","C1","EMD-0091","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 QUANTUM (4k x 4k)","2018-12-05","2018-06-30","Dienemann, C., Schwalb, B., Schilbach, S., Cramer, P."
"6GYM","EMD-0092","ELECTRON MICROSCOPY",,6.7,"POINT","C1","EMD-0092","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 QUANTUM (4k x 4k)","2018-12-05","2018-06-30","Dienemann, C., Schwalb, B., Schilbach, S., Cramer, P."
"6GYN","EMD-0093","ELECTRON MICROSCOPY",,3.4,"POINT","C4","EMD-0093","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2019-05-08","2018-06-30","Shintre, C.A., Pike, A.C.W., Tessitore, A., Young, M., Bushell, S.R., Strain-Damerell, C., Mukhopadhyay, S., Burgess-Brown, N.A., Huiskonen, J.T., Arrowsmith, C.H., Edwards, A.M., Bountra, C., Carpenter, E.P."
"6GYO","EMD-0094","ELECTRON MICROSCOPY",,3.4,"POINT","C4","EMD-0094","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2019-05-01","2018-06-30","Shintre, C.A., Pike, A.C.W., Tessitore, A., Young, M., Bushell, S.R., Strain-Damerell, C., Mukhopadhyay, S., Burgess-Brown, N.A., Huiskonen, J.T., Arrowsmith, C.H., Edwards, A.M., Bountra, C., Carpenter, E.P."
"6GYP","EMD-0095","ELECTRON MICROSCOPY",,3.6,"POINT",,"EMD-0095","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2018-12-05","2018-07-01","Yan, K., Zhang, Z., Yang, J., McLaughlin, S.H., Barford, D."
"6GYS","EMD-0096","ELECTRON MICROSCOPY",,4.4,"POINT",,"EMD-0095, EMD-0096, EMD-0097","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2018-12-05","2018-07-01","Yan, K., Zhang, Z., Yang, J., McLaughlin, S.H., Barford, D."
"6GYU","EMD-0097","ELECTRON MICROSCOPY",,3,"POINT",,"EMD-0095, EMD-0096, EMD-0097","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2018-12-05","2018-07-02","Yan, K., Zhang, Z., Yang, J., McLaughlin, S.H., Barford, D."
"6GZ3","EMD-0098","ELECTRON MICROSCOPY",,3.6,"POINT","C1","EMD-0098","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI POLARA 300","GATAN K2 SUMMIT (4k x 4k)","2018-12-05","2018-07-03","Flis, J., Holm, M., Rundlet, E.J., Loerke, J., Hilal, T., Dabrowski, M., Burger, J., Mielke, T., Blanchard, S.C., Spahn, C.M.T., Budkevich, T.V."
"6GZ4","EMD-0099","ELECTRON MICROSCOPY",,3.6,"POINT",,"EMD-0100, EMD-0098, 6GZ3, 6GZ5, EMD-0099","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI POLARA 300","GATAN K2 SUMMIT (4k x 4k)","2018-12-05","2018-07-03","Flis, J., Holm, M., Rundlet, E.J., Loerke, J., Hilal, T., Dabrowski, M., Burger, J., Mielke, T., Blanchard, S.C., Spahn, C.M.T., Budkevich, T.V."
"6GZ5","EMD-0100","ELECTRON MICROSCOPY",,3.5,"POINT","C1","EMD-0098, 6GZ3, 6GZ4, EMD-0099, EMD-0100","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI POLARA 300","GATAN K2 SUMMIT (4k x 4k)","2018-12-05","2018-07-03","Flis, J., Holm, M., Rundlet, E.J., Loerke, J., Hilal, T., Dabrowski, M., Burger, J., Mielke, T., Blanchard, S.C., Spahn, C.M.T., Budkevich, T.V."
"6GZQ","EMD-0101","ELECTRON MICROSCOPY",,3.28,"POINT","C1","EMD-0101","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2018-10-24","2018-07-04","Flygaard, R.K., Boegholm, N., Yusupov, M., Jenner, L.B."
"6GZV","EMD-0103","ELECTRON MICROSCOPY",,4,"POINT","I","EMD-0103","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2019-06-05","2018-07-05","Abdelnabi, R., Geraets, J.A., Ma, Y., Mirabelli, C., Flatt, J.W., Domanska, A., Delang, L., Jochmans, D., Kumar, T.A., Jayaprakash, V., Sinha, B.N., Leyssen, P., Butcher, S.J., Neyts, J."
"6GZX","EMD-0104","ELECTRON MICROSCOPY",,4.57,"POINT",,"EMD-0101, 6GZQ, EMD-0104","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2018-10-24","2018-07-05","Flygaard, R.K., Boegholm, N., Yusupov, M., Jenner, L.B."
"6GZZ","EMD-0105","ELECTRON MICROSCOPY",,4.13,"POINT",,"EMD-0101, 6GZQ, EMD-0104, 6GZX, EMD-0105","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2018-10-24","2018-07-05","Flygaard, R.K., Boegholm, N., Yusupov, M., Jenner, L.B."
"6H03","EMD-0106","ELECTRON MICROSCOPY",,5.6,"POINT","C1","EMD-0106, 6H04, EMD-0107, EMD-0109, EMD-0111, EMD-0112, EMD-0113, EMD-0110","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-12-19","2018-07-06","Menny, A., Serna, M., Boyd, C.M., Gardner, S., Joseph, A.P., Morgan, B.P., Topf, M., Brooks, N.J., Bubeck, D."
"6H04","EMD-0107","ELECTRON MICROSCOPY",,5.6,"POINT","C1","EMD-0106, 6H03, EMD-0107, EMD-0109, EMD-0110, EMD-0111, EMD-0112, EMD-0113","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-12-19","2018-07-06","Menny, A., Serna, M., Boyd, C.M., Gardner, S., Joseph, A.P., Morgan, B.P., Topf, M., Brooks, N.J., Bubeck, D."
"6H05","EMD-0108","ELECTRON MICROSCOPY",,2.9,"POINT","O","EMD-0108","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2020-01-22","2018-07-06","Nagy, B., Polak, M., Ozohanics, O., Zambo, Z., Szabo, E., Hubert, A., Jordan, F., Novacek, J., Adam-Vizi, V., Ambrus, A."
"6H25","EMD-0128","ELECTRON MICROSCOPY",,3.8,"POINT",,"EMD-0127, EMD-0128","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2018-08-15","2018-07-13","Gerlach, P., Schuller, J.M., Bonneau, F., Basquin, J., Reichelt, P., Falk, S., Conti, E."
"6H2B","EMD-0129","ELECTRON MICROSCOPY",,3.28,"POINT","I","EMD-3655, EMD-0129","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 QUANTUM (4k x 4k)","2018-10-31","2018-07-13","Ho, K.L., Gabrielsen, M., Beh, P.L., Kueh, C.L., Thong, Q.X., Streetley, J., Tan, W.S., Bhella, D."
"6H3C","EMD-0132","ELECTRON MICROSCOPY",,3.9,"POINT","C2","6GVW, EMD-0132","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2019-07-10","2018-07-18","Rabl, J., Bunker, R.D., Schenk, A.D., Cavadini, S., Gill, M.E., Abdulrahman, W., Andres-Pons, A., Luijsterburg, M.S., Ibrahim, A.F.M., Branigan, E., Aguirre, J.D., Marceau, A.H., Guerillon, C., Bouwmeester, T., Hassiepen, U., Peters, A.H.F.M., Renatus, M., Gelman, L., Rubin, S.M., Mailand, N., van Attikum, H., Hay, R.T., Thoma, N.H."
"6H3I","EMD-0133","ELECTRON MICROSCOPY",,3.5,"POINT","C1","EMD-0133","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 QUANTUM (4k x 4k)","2018-11-07","2018-07-18","Lauber, F., Deme, J.C., Lea, S.M., Berks, B.C."
"6H3J","EMD-0134","ELECTRON MICROSCOPY",,3.7,"POINT","C1","EMD-0134","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 QUANTUM (4k x 4k)","2018-11-07","2018-07-18","Lauber, F., Deme, J.C., Lea, S.M., Berks, B.C."
"6H3L","EMD-0135","ELECTRON MICROSCOPY",,4.2,"POINT","C1","EMD-0135","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-09-12","2018-07-19","Quentin, D., Ahmad, S., Shanthamoorthy, P., Mougous, J.D., Whitney, J.C., Raunser, S."
"6H3N","EMD-0136","ELECTRON MICROSCOPY",,3.25,"POINT","C3","EMD-0136","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2018-09-12","2018-07-19","Quentin, D., Ahmad, S., Shanthamoorthy, P., Mougous, J.D., Whitney, J.C., Raunser, S."
"6H4N","EMD-0137","ELECTRON MICROSCOPY",,3,"POINT","C1","EMD-0137","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-09-05","2018-07-22","Beckert, B., Turk, M., Czech, A., Berninghausen, O., Beckmann, R., Ignatova, Z., Plitzko, J.M., Wilson, D.N."
"6H55","EMD-0138","ELECTRON MICROSCOPY",,6,"POINT","I","EMD-0138","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2019-06-05","2018-07-23","Prajapati, S., Haselbach, D., Wittig, S., Patel, M.S., Chari, A., Schmidt, C., Stark, H., Tittmann, K."
"6H58","EMD-0139","ELECTRON MICROSCOPY",,7.9,"POINT","C2","EMD-0137, 6H4N, EMD-0139","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2018-09-05","2018-07-24","Beckert, B., Turk, M., Czech, A., Berninghausen, O., Beckmann, R., Ignatova, Z., Plitzko, J.M., Wilson, D.N."
"6H5I","EMD-0140","ELECTRON MICROSCOPY",,3.9,"POINT","O","EMD-0140","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2019-03-27","2018-07-24","Montemiglio, L.C., Testi, C., Ceci, P., Falvo, E., Pitea, M., Savino, C., Arcovito, A., Peruzzi, G., Baiocco, P., Mancia, F., Boffi, A., des Georges, A., Vallone, B."
"6H5Q","EMD-0141","ELECTRON MICROSCOPY",,3.3,"HELICAL",,"EMD-0141","HELICAL ARRAY","HELICAL","NO","NO","YES","FEI POLARA 300","GATAN K2 SUMMIT (4k x 4k)","2019-03-13","2018-07-25","Desfosses, A., Milles, S., Jensen, M.R., Guseva, S., Colletier, J.P., Maurin, D., Schoehn, G., Gutsche, I., Ruigrok, R.W.H., Blackledge, M."
"6H5S","EMD-0142","ELECTRON MICROSCOPY",,3.3,"HELICAL",,"EMD-0142","HELICAL ARRAY","HELICAL","NO","NO","YES","FEI POLARA 300","GATAN K2 SUMMIT (4k x 4k)","2019-06-12","2018-07-25","Desfosses, A., Milles, S., Jensen, M.R., Guseva, S., Colletier, J.P., Maurin, D., Schoehn, G., Gutsche, I., Ruigrok, R.W.H., Blackledge, M."
"6H60","EMD-0138","ELECTRON MICROSCOPY",,6,"POINT","I","EMD-0138","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2019-06-05","2018-07-25","Prajapati, S., Haselbach, D., Wittig, S., Patel, M.S., Chari, A., Schmidt, C., Stark, H., Tittmann, K."
"6H61","EMD-0143","ELECTRON MICROSCOPY",,4.02,"HELICAL",,"EMD-4338, 6G19, EMD-4340, 6G1S, EMD-4341, 6G1X, EMD-0012, 6GJZ, EMD-0024, 6GKM, EMD-0023, 6GKH, EMD-0143","HELICAL ARRAY","HELICAL","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2018-11-21","2018-07-25","Yu, Q., Qu, K., Modis, Y."
"6H66","EMD-0145","ELECTRON MICROSCOPY",,4.16,"HELICAL",,"EMD-4338, 6G19, EMD-4340, 6G1S, EMD-4341, 6G1X, EMD-0012, 6GJZ, EMD-0024, 6GKM, EMD-0023, 6GKH, EMD-0143, 6H61, EMD-0145","HELICAL ARRAY","HELICAL","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON III (4k x 4k)","2018-11-21","2018-07-26","Yu, Q., Qu, K., Modis, Y."
"6H67","EMD-0146","ELECTRON MICROSCOPY",,3.6,"POINT","C1","EMD-0146","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2018-08-29","2018-07-26","Sanz-Murillo, M., Xu, J., Belogurov, G.A., Calvo, O., Gil-Carton, D., Moreno-Morcillo, M., Wang, D., Fernandez-Tornero, C."
"6H68","EMD-0147","ELECTRON MICROSCOPY",,4.6,"POINT",,"EMD-0147","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2018-08-29","2018-07-26","Sanz-Murillo, M., Xu, J., Belogurov, G.A., Calvo, O., Gil-Carton, D., Moreno-Morcillo, M., Wang, D., Fernandez-Tornero, C."
"6H6B","EMD-0148","ELECTRON MICROSCOPY",,3.4,"HELICAL",,"EMD-0148","FILAMENT","HELICAL","NO","NO","YES","FEI TITAN KRIOS","GATAN K2 SUMMIT (4k x 4k)","2018-08-08","2018-07-26","Guerrero-Ferreira, R., Taylor, N.M., Mona, D., Ringler, P., Lauer, M.E., Riek, R., Britschgi, M., Stahlberg, H."
"6H6E","EMD-0149","ELECTRON MICROSCOPY",,3.95,"POINT","C1","EMD-0149","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-10-03","2018-07-27","Gatsogiannis, C., Merino, F., Roderer, D., Balchin, D., Schubert, E., Kuhlee, A., Hayer-Hartl, M., Raunser, S."
"6H6F","EMD-0150","ELECTRON MICROSCOPY",,3.72,"POINT","C1","EMD-0150","PARTICLE","SINGLE PARTICLE","NO","NO","YES","FEI TITAN KRIOS","FEI FALCON II (4k x 4k)","2018-10-03","2018-07-27","Gatsogiannis, C., Merino, F., Roderer, D., Balchin, D., Schubert, E., Kuhlee, A., Hayer-Hartl, M., Raunser, S."
